CUSIP,ISIN,Current Face in Local Currency in Thousand,Current Face in USD,99-20 or not,Intention,Book Price,Excluded from Analysis?
90268TAA2,,2509," 2,508,999.51 ",No,AFS,99.9999,NO
46628FAM3,US46628FAM32,2500," 2,500,000.00 ",No,AFS,102.3330,NO
46625YXQ1,US46625YXQ15,1690," 1,690,272.67 ",No,AFS,100.0156,NO
617451AF6,US617451AF65,2439," 2,439,161.55 ",No,AFS,102.0693,NO
46635GAA8,US46635GAA85,2271," 2,271,043.32 ",No,AFS,100.5782,NO
92937EAH7,,2570," 2,570,000.00 ",No,AFS,102.7641,NO
61745M6E8,,1507," 1,507,425.69 ",No,AFS,100.0056,NO
46631BAD7,US46631BAD73,2320," 2,320,000.00 ",No,AFS,101.8919,NO
05950VAB6,US05950VAB62,2248," 2,248,343.48 ",No,AFS,100.0000,NO
617458AN4,US617458AN43,2000," 2,000,000.00 ",No,AFS,99.3140,NO
46625YCV3,US46625YCV39,1103," 1,102,730.60 ",No,AFS,100.0000,NO
61761QAK9,,2130," 2,130,000.00 ",No,AFS,101.9021,NO
52108H6W9,US52108H6W91,2038," 2,038,465.85 ",No,AFS,102.0833,NO
